T edge 2path 3path 3clique 3star 4path 4cycle 4star 4Y 4kite 4clique 5path 5cycle 5star
1.500000000000000000e+01 7.327215506609586981e+00 1.947943657027796860e+02 6.440681577694030238e+03 7.090243776076569304e+01 7.098284552565994090e+03  2.188715604833727994e+05 2.708864374137066305e+06 2.780929486729848431e+05 2.444620843729370390e+05 3.114138459189525676e+01 1.613400494715784961e+13 6.889152656050518751e+08 4.570807058433574438e+07 4.178087251918023825e+07
1.600000000000000000e+01 5.316144281333051502e+00 9.379387201888141590e+01 2.080578723036430802e+03 3.662072212422120288e+01 2.292551751831963429e+03  4.769022156909151818e+04 5.637701236029451247e+05 6.073897319212313596e+04 5.330730264194680785e+04 4.220348110334561653e+01 1.136648155896104980e+12 7.553893241757588089e+07 5.433704725487502292e+06 4.843646009038982913e+06
1.700000000000000000e+01 4.021139423461950635e+00 4.956656341663597942e+01 7.737837773128304661e+02 2.074406329937313842e+01 8.514451847521097534e+02  1.254867839300301057e+04 1.421518807731191046e+05 1.596922215553934257e+04 1.401643236182459259e+04 2.949876333083685154e+01 1.092679972719071045e+11 1.073352235076046921e+07 8.436209138186271302e+05 7.330316859585522907e+05
1.800000000000000000e+01 3.144919002493911986e+00 2.827083198842558076e+01 3.232351120588144795e+02 1.265195435670610635e+01 3.548124462638510295e+02  3.858989182124831586e+03 4.204154907915723743e+04 4.892891508494488335e+03 4.301211866529430154e+03 1.872111154032216618e+01 1.360576955677342415e+10 1.892678976578710368e+06 1.634416887977283914e+05 1.385716549399684009e+05
1.900000000000000000e+01 2.527170972106056013e+00 1.717444081873271600e+01 1.487371058430056792e+02 8.193269361641682735e+00 1.627149038265468732e+02  1.351549172512616678e+03 1.421554984539385077e+04 1.703012913024773297e+03 1.501288153397570795e+03 1.178750635380555956e+01 2.105987360138219118e+09 4.002731273212633678e+05 3.809678274577482080e+04 3.158938683704625146e+04
2.000000000000000000e+01 2.076380046255898559e+00 1.099648707813664750e+01 7.422845869367168348e+01 5.573731307685124925e+00 8.085871515944180032e+01  5.280986467020624104e+02 5.384066284724711295e+03 6.597704389901024342e+02 5.838953061076547328e+02 7.550983551126945414e+00 3.921049847275118828e+08 9.880105989302045782e+04 1.037277495091577293e+04 8.440201570728919251e+03
2.100000000000000000e+01 1.737701752274727784e+00 7.358555571734028966e+00 3.967658586894955874e+01 3.950133458195927538e+00 4.300217850029221722e+01  2.264143683481357243e+02 2.246576688708308211e+03 2.798745023651364363e+02 2.488945481259019630e+02 4.959020288746703642e+00 8.550628979003927112e+07 2.784642790981913640e+04 3.220548884654653193e+03 2.582179062419268575e+03
2.200000000000000000e+01 1.476862589773956902e+00 5.111461835282764099e+00 2.248513320407741034e+01 2.897387659538121163e+00 2.422863113811105507e+01  1.050823529358489594e+02 1.018865539404402512e+03 1.282737065561834129e+02 1.147264593966526149e+02 3.343830310727885724e+00 2.136900108208619431e+07 8.803221695750036815e+03 1.117972682410100560e+03 8.873312843201033502e+02
2.300000000000000000e+01 1.271651189849985597e+00 3.665332095927999578e+00 1.339806190922842433e+01 2.188039675246364446e+00 1.434340536485060902e+01  5.221359826547306682e+01 4.966522416755418590e+02 6.283065457954874233e+01 5.655810155576370590e+01 2.312948287573651118e+00 6.011067443606358953e+06 3.076416086271231052e+03 4.269280767851335554e+02 3.370600729048261996e+02
2.400000000000000000e+01 1.107208166773880009e+00 2.701080083335092752e+00 8.336792335760843997e+00 1.694015258941784730e+00 8.861443442091125888e+00  2.752304563847240715e+01 2.578118386523263439e+02 3.259498217777604623e+01 2.955027398507166225e+01 1.638295165155290167e+00 1.874983238590133376e+06 1.174265442883760898e+03 1.769623727869995093e+02 1.396529393335035536e+02
2.500000000000000000e+01 9.733105299583448833e-01 2.038009694540015015e+00 5.386426122320013832e+00 1.339949431835929516e+00 5.681138263244077002e+00  1.527461487381588690e+01 1.414161223049454463e+02 1.777557365836790382e+01 1.623995139686583045e+01 1.185876652811816312e+00 6.404190878988133045e+05 4.847200809605146219e+02 7.873751839961438748e+01 6.240893228679244942e+01
2.600000000000000000e+01 8.627487044870376653e-01 1.569592019250156900e+00 3.596589962679415109e+00 1.079757971968523522e+00 3.761852362766994418e+00  8.868428533763305310e+00 8.143288585977607852e+01 1.012680152533539513e+01 9.328750483322574283e+00 8.754444446146182335e-01 2.369951593619800406e+05 2.146006738104338751e+02 3.725922840349941367e+01 2.979867687286499134e+01
2.700000000000000000e+01 7.703250146380852259e-01 1.230749606566409193e+00 2.471979686852211255e+00 8.842952255623660607e-01 2.562652364817268769e+00  5.358024298628727422e+00 4.895465666730365228e+01 5.995305489000423371e+00 5.571504700181182379e+00 6.578611974168677712e-01 9.416692389861475385e+04 1.012010225655486693e+02 1.860669981227860958e+01 1.508110655299928382e+01
2.800000000000000000e+01 6.922177185559063028e-01 9.804514921739817535e-01 1.743041319144689405e+00 7.345706625391654754e-01 1.790000849617897183e+00  3.353355868957763164e+00 3.057883465106856491e+01 3.672044785384861676e+00 3.444146854710540495e+00 5.023478644346761612e-01 3.986405536697851494e+04 5.053852906179042037e+01 9.742160053137933318e+00 8.035472323476252399e+00
2.900000000000000000e+01 6.255666431027604446e-01 7.920882168544596258e-01 1.257318017360227635e+00 6.178781017812060572e-01 1.278396896308877650e+00  2.165703576756484061e+00 1.976555456210784811e+01 2.318029485740540796e+00 2.195290367525785769e+00 3.891924449778883521e-01 1.786062801485601813e+04 2.659436201758685314e+01 5.318596062772143362e+00 4.481482159681645427e+00
3.000000000000000000e+01 5.681968565313700870e-01 6.479613203404283039e-01 9.255603210603031705e-01 5.255119649437487439e-01 9.312813025414649060e-01  1.438569821617787792e+00 1.317425504338573283e+01 1.503279633430115725e+00 1.438084759426755177e+00 3.055010009826838457e-01 8.420568977911767433e+03 1.468333733824534804e+01 3.013426000916293646e+00 2.603243614203297529e+00
3.100000000000000000e+01 5.184304707797771083e-01 5.360283792843166806e-01 6.938794400259667983e-01 4.513789773681689543e-01 6.905605562327646885e-01  9.800381950884835547e-01 9.026920408637479909e+00 9.987665873045605824e-01 9.654709249925186310e-01 2.426699718759648405e-01 4.156609509620996505e+03 8.474062557250611860e+00 1.764856749648272105e+00 1.568346722417922390e+00
3.200000000000000000e+01 4.749559844245092588e-01 4.479253006926584013e-01 5.288168215474423617e-01 3.911311928324721632e-01 5.203018868437576661e-01  6.830755837905954087e-01 6.341393333861353732e+00 6.781884632235327670e-01 6.626769658213993441e-01 1.948508727456537137e-01 2.138891654824022226e+03 5.094730898822443343e+00 1.064766292297867345e+00 9.763501693685542326e-01
3.300000000000000000e+01 4.367359707640790512e-01 3.777334854244002726e-01 4.090672868367563608e-01 3.416112364623886677e-01 3.977154131623860667e-01  4.860497311458187308e-01 4.556568008212131815e+00 4.696735454800829435e-01 4.640417422271279069e-01 1.579986396586461339e-01 1.142936191583643449e+03 3.181024339634663356e+00 6.597982551642997961e-01 6.260624354640441647e-01
